BFS_NR,GEBIET_NAME,2015,2019,2023
3201,Häggenschwil,7.5,6.5,7.3
3202,Muolen,6.2,4.3,5.0
3203,Stadt St.Gallen,28.1,24.4,25.6
3204,Wittenbach,16.7,13.2,12.5
3211,Berg (SG),11.2,10.4,9.7
3212,Eggersriet,13.6,9.7,9.5
3213,Goldach,16.1,13.4,13.7
3214,Mörschwil,9.2,8.4,7.9
3215,Rorschach,25.8,25.0,23.3
3216,Rorschacherberg,15.6,15.7,14.0
3217,Steinach,13.1,12.0,10.9
3218,Tübach,10.7,8.9,10.3
3219,Untereggen,11.6,11.6,10.8
3231,Au (SG),11.4,11.5,9.9
3232,Balgach,10.7,10.6,10.8
3233,Berneck,10.4,9.8,10.5
3234,Diepoldsau,6.1,7.2,6.9
3235,Rheineck,14.1,13.2,12.0
3236,St.Margrethen,13.3,15.3,11.9
3237,Thal,11.5,12.0,11.0
3238,Widnau,9.9,9.9,8.6
3251,Altstätten,9.3,9.2,9.2
3252,Eichberg,5.8,6.5,6.4
3253,Marbach (SG),7.3,9.3,10.1
3254,Oberriet (SG),4.1,4.1,4.8
3255,Rebstein,10.9,12.9,12.2
3256,Rüthi (SG),5.4,4.2,5.6
3271,Buchs (SG),18.7,17.0,18.3
3272,Gams,7.1,6.6,9.1
3273,Grabs,15.4,12.8,14.6
3274,Sennwald,8.9,9.5,9.6
3275,Sevelen,16.9,13.4,12.8
3276,Wartau,15.6,11.0,13.3
3291,Bad Ragaz,11.6,8.5,9.9
3292,Flums,10.4,8.0,6.6
3293,Mels,8.9,6.2,6.4
3294,Pfäfers,9.4,7.0,7.9
3295,Quarten,8.5,6.7,6.3
3296,Sargans,20.3,13.8,13.4
3297,Vilters-Wangs,11.9,8.7,8.4
3298,Walenstadt,13.2,11.0,11.1
3311,Amden,5.9,4.8,5.3
3312,Benken (SG),5.6,4.6,6.1
3313,Kaltbrunn,8.1,5.7,5.4
3315,Schänis,7.6,6.9,5.9
3316,Weesen,12.8,10.0,9.9
3338,Schmerikon,12.4,9.7,9.8
3339,Uznach,13.8,11.6,11.3
3340,Rapperswil-Jona,16.0,12.9,15.7
3341,Gommiswald,10.4,6.0,6.6
3342,Eschenbach (SG),7.5,5.8,7.1
3352,Ebnat-Kappel,13.5,13.7,12.1
3359,Wildhaus-Alt St. Johann,7.1,11.5,9.9
3360,Nesslau,9.1,9.1,9.7
3374,Lichtensteig,14.0,14.0,14.5
3379,Wattwil,14.2,13.0,13.9
3392,Kirchberg (SG),8.7,8.4,8.2
3393,Lütisburg,6.7,7.3,5.9
3394,Mosnang,4.9,4.2,4.6
3395,Bütschwil-Ganterschwil,7.4,7.4,6.8
3396,Neckertal,9.0,9.0,7.7
3401,Degersheim,13.9,13.3,11.8
3402,Flawil,15.5,14.5,14.5
3405,Jonschwil,8.1,8.6,8.0
3407,Oberuzwil,12.4,11.5,11.2
3408,Uzwil,12.7,12.4,11.3
3422,Niederbüren,4.7,4.8,4.4
3423,Niederhelfenschwil,6.7,6.1,5.0
3424,Oberbüren,7.2,7.7,6.9
3426,Zuzwil (SG),9.4,9.4,8.5
3427,Wil (SG),15.2,15.8,15.9
3441,Andwil (SG),8.1,9.1,8.6
3442,Gaiserwald,12.0,10.7,9.5
3443,Gossau (SG),11.0,11.6,11.7
3444,Waldkirch,6.2,4.5,6.9
