BFS_NR,GEBIET_NAME,2015,2019,2023
3201,Häggenschwil,32.4,33.2,35.9
3202,Muolen,36.0,34.6,38.2
3203,Stadt St.Gallen,21.1,16.5,18.4
3204,Wittenbach,34.3,30.1,32.0
3211,Berg (SG),36.6,33.8,32.8
3212,Eggersriet,34.5,29.8,30.4
3213,Goldach,35.1,34.3,35.5
3214,Mörschwil,31.1,27.0,29.9
3215,Rorschach,29.1,25.5,25.9
3216,Rorschacherberg,36.5,33.7,37.0
3217,Steinach,38.0,36.9,39.9
3218,Tübach,35.1,44.2,44.8
3219,Untereggen,37.6,31.8,35.8
3231,Au (SG),40.1,34.3,38.8
3232,Balgach,36.3,30.6,33.5
3233,Berneck,36.1,33.5,37.1
3234,Diepoldsau,40.9,34.5,39.4
3235,Rheineck,40.8,34.6,37.1
3236,St.Margrethen,48.4,39.0,43.1
3237,Thal,43.3,36.3,42.5
3238,Widnau,43.5,34.8,40.7
3251,Altstätten,40.6,33.7,39.1
3252,Eichberg,51.1,44.7,55.4
3253,Marbach (SG),42.0,33.6,37.3
3254,Oberriet (SG),51.6,44.1,50.2
3255,Rebstein,44.2,36.8,39.8
3256,Rüthi (SG),43.9,36.0,45.0
3271,Buchs (SG),33.8,29.3,33.3
3272,Gams,37.4,32.0,35.5
3273,Grabs,34.0,28.7,35.6
3274,Sennwald,44.1,38.7,45.5
3275,Sevelen,40.9,36.3,39.2
3276,Wartau,38.3,31.7,37.4
3291,Bad Ragaz,37.6,30.6,32.9
3292,Flums,47.8,43.3,53.3
3293,Mels,39.2,35.2,39.2
3294,Pfäfers,42.3,38.9,42.8
3295,Quarten,47.1,44.9,44.3
3296,Sargans,31.7,27.3,30.9
3297,Vilters-Wangs,39.2,35.1,35.0
3298,Walenstadt,39.4,31.6,35.7
3311,Amden,46.5,38.9,41.9
3312,Benken (SG),43.3,44.3,47.0
3313,Kaltbrunn,40.8,44.6,42.6
3315,Schänis,40.5,42.4,42.3
3316,Weesen,32.2,29.8,32.8
3338,Schmerikon,34.5,34.6,34.1
3339,Uznach,34.1,28.3,32.5
3340,Rapperswil-Jona,30.3,25.5,25.1
3341,Gommiswald,46.8,42.8,44.8
3342,Eschenbach (SG),46.0,43.7,46.8
3352,Ebnat-Kappel,43.1,40.4,43.7
3359,Wildhaus-Alt St. Johann,41.6,35.9,41.4
3360,Nesslau,44.6,46.0,45.9
3374,Lichtensteig,34.7,29.2,30.6
3379,Wattwil,37.5,36.7,39.2
3392,Kirchberg (SG),41.8,36.7,41.3
3393,Lütisburg,37.0,37.6,42.5
3394,Mosnang,43.9,38.1,46.1
3395,Bütschwil-Ganterschwil,42.6,41.9,48.4
3396,Neckertal,40.1,39.9,42.0
3401,Degersheim,33.8,27.6,28.3
3402,Flawil,33.1,26.2,30.1
3405,Jonschwil,39.4,36.9,38.4
3407,Oberuzwil,34.8,28.6,32.1
3408,Uzwil,38.9,33.3,36.6
3422,Niederbüren,45.7,40.4,42.1
3423,Niederhelfenschwil,43.4,36.5,41.4
3424,Oberbüren,50.5,42.7,44.5
3426,Zuzwil (SG),37.8,34.1,38.4
3427,Wil (SG),32.3,27.5,29.0
3441,Andwil (SG),34.2,29.3,33.3
3442,Gaiserwald,32.7,26.5,28.1
3443,Gossau (SG),37.1,33.4,36.2
3444,Waldkirch,43.2,40.1,41.0
