BFS_NR,GEBIET_NAME,2023,2019,2015,2011,2007
1,Gesamtschweiz,18.3,16.8,18.8,18.7,19.5
5,Grossregion Ostschweiz,***,***,***,***,***
8,Kanton Glarus,23.4,***,45,24.6,55.5
14,Kanton Schaffhausen,27.4,26.2,28.8,34.6,34.2
15,Kanton Appenzell a.Rh.,***,***,28.6,***,***
16,Kanton Appenzell i.Rh.,8.7,8.7,18.1,20.3,***
17,Kanton St.Gallen,12.7,12.7,14.2,16.7,14.7
18,Kanton Graubünden,17.8,17.1,17.6,15.6,23.7
20,Kanton Thurgau,10.2,12.6,12.7,12.1,11.7
1721,Wahlkreis St.Gallen,19.2,18.6,21.3,22.9,20.4
1722,Wahlkreis Rorschach,13,14,15,19.3,16.6
1723,Wahlkreis Rheintal,8.8,9.2,8.9,12.2,10.2
1724,Wahlkreis Werdenberg,13.9,12.6,14.7,19.2,18.4
1725,Wahlkreis Sarganserland,8.8,8.9,12.1,14.4,13
1726,Wahlkreis See-Gaster,10.8,9.6,12,12.9,12.7
1727,Wahlkreis Toggenburg,9.5,9.9,9.9,12.7,10.7
1728,Wahlkreis Wil,11.8,12.4,12.5,15,12.5
3201,Häggenschwil,7.3,6.5,7.5,9,7.5
3202,Muolen,5,4.3,6.2,8.4,7.2
3203,Stadt St.Gallen,25.6,24.4,28.1,28.4,25.4
3204,Wittenbach,12.5,13.2,16.7,18,13.8
3211,Berg (SG),9.7,10.4,11.2,14.6,12.5
3212,Eggersriet,9.5,9.7,13.6,16.6,14.6
3213,Goldach,13.7,13.4,16.1,21.4,18.4
3214,Mörschwil,7.9,8.4,9.2,11.7,9.2
3215,Rorschach,23.3,25,25.8,27.6,23.6
3216,Rorschacherberg,14,15.7,15.6,20,17.6
3217,Steinach,10.9,12,13.1,19,16.1
3218,Tübach,10.3,8.9,10.7,15.6,14.9
3219,Untereggen,10.8,11.6,11.6,16.9,12.1
3231,Au (SG),9.9,11.5,11.4,14.1,10.8
3232,Balgach,10.8,10.6,10.7,14.7,12
3233,Berneck,10.5,9.8,10.4,16.6,12.2
3234,Diepoldsau,6.9,7.2,6.1,9.2,7.8
3235,Rheineck,12,13.2,14.1,15.6,13.7
3236,St.Margrethen,11.9,15.3,13.3,17.8,13.9
3237,Thal,11,12,11.5,16.4,14.2
3238,Widnau,8.6,9.9,9.9,12.6,9.9
3251,Altstätten,9.2,9.2,9.3,12.2,9.9
3252,Eichberg,6.4,6.5,5.8,10,9.3
3253,Marbach (SG),10.1,9.3,7.3,12.6,11.1
3254,Oberriet (SG),4.8,4.1,4.1,7.1,6.2
3255,Rebstein,12.2,12.9,10.9,14.3,14.1
3256,Rüthi (SG),5.6,4.2,5.4,6.7,8.1
3271,Buchs (SG),18.3,17,18.7,23,23
3272,Gams,9.1,6.6,7.1,10.4,12.3
3273,Grabs,14.6,12.8,15.4,22.3,19.9
3274,Sennwald,9.6,9.5,8.9,14.7,15
3275,Sevelen,12.8,13.4,16.9,19.8,16.6
3276,Wartau,13.3,11,15.6,17.1,15.7
3291,Bad Ragaz,9.9,8.5,11.6,13.6,12.7
3292,Flums,6.6,8,10.4,13.1,10.9
3293,Mels,6.4,6.2,8.9,11.2,10.2
3294,Pfäfers,7.9,7,9.4,13.3,14.9
3295,Quarten,6.3,6.7,8.5,11.8,10.1
3296,Sargans,13.4,13.8,20.3,21.2,19.4
3297,Vilters-Wangs,8.4,8.7,11.9,14.8,14.1
3298,Walenstadt,11.1,11,13.2,16,13.1
3311,Amden,5.3,4.8,5.9,8.3,7.6
3312,Benken (SG),6.1,4.6,5.6,5.6,8
3313,Kaltbrunn,5.4,5.7,8.1,9.1,9.1
3315,Schänis,5.9,6.9,7.6,7.8,7.2
3316,Weesen,9.9,10,12.8,13.2,12.2
3338,Schmerikon,9.8,9.7,12.4,13.4,15.1
3339,Uznach,11.3,11.6,13.8,12.3,12.5
3340,Rapperswil-Jona,15.7,12.9,16,17.6,17
3341,Gommiswald,6.6,6,10.4,9.1,8
3342,Eschenbach (SG),7.1,5.8,7.5,8.3,7.6
3352,Ebnat-Kappel,12.1,13.7,13.5,16.3,14.7
3359,Wildhaus-Alt St. Johann,9.9,11.5,7.1,10.5,9.7
3360,Nesslau,9.7,9.1,9.1,11.2,9.5
3374,Lichtensteig,14.5,14,14,18.3,14.6
3379,Wattwil,13.9,13,14.2,16.9,13.3
3392,Kirchberg (SG),8.2,8.4,8.7,13.2,11.5
3393,Lütisburg,5.9,7.3,6.7,8.7,7.2
3394,Mosnang,4.6,4.2,4.9,5.8,4.5
3395,Bütschwil-Ganterschwil,6.8,7.4,7.4,9.6,7.3
3396,Neckertal,7.7,9,9,11.3,10.2
3401,Degersheim,11.8,13.3,13.9,17.9,13.9
3402,Flawil,14.5,14.5,15.5,17.2,15
3405,Jonschwil,8,8.6,8.1,10.1,9.8
3407,Oberuzwil,11.2,11.5,12.4,15.2,12.1
3408,Uzwil,11.3,12.4,12.7,15.9,13.4
3422,Niederbüren,4.4,4.8,4.7,6.7,5.8
3423,Niederhelfenschwil,5,6.1,6.7,7.3,6.7
3424,Oberbüren,6.9,7.7,7.2,10.5,9
3426,Zuzwil (SG),8.5,9.4,9.4,12.8,10.4
3427,Wil (SG),15.9,15.8,15.2,17.2,13.9
3441,Andwil (SG),8.6,9.1,8.1,11.6,9.5
3442,Gaiserwald,9.5,10.7,12,15.6,13.9
3443,Gossau (SG),11.7,11.6,11,16,13.9
3444,Waldkirch,6.9,4.5,6.2,7.3,6.6
