BFS_NR,GEBIET_NAME,2023,2019,2015,2011,2007
1,Gesamtschweiz,27.9,25.6,29.4,26.6,28.9
5,Grossregion Ostschweiz,***,***,***,***,***
8,Kanton Glarus,42.6,***,***,***,35.1
14,Kanton Schaffhausen,39.1,39.5,45.3,39.9,39.1
15,Kanton Appenzell a.Rh.,47.7,49.5,36.1,30.5,***
16,Kanton Appenzell i.Rh.,2.4,29.1,***,***,***
17,Kanton St.Gallen,34.5,31.3,35.8,31.5,35.8
18,Kanton Graubünden,30.6,29.9,29.7,24.5,34.7
20,Kanton Thurgau,40.3,36.7,39.9,38.7,42.3
1721,Wahlkreis St.Gallen,24.8,22.8,27.2,24.4,28
1722,Wahlkreis Rorschach,35.8,32.8,35.6,32,34.7
1723,Wahlkreis Rheintal,41.1,36.1,43,36.8,42.8
1724,Wahlkreis Werdenberg,37,31.9,37.1,32.2,37.5
1725,Wahlkreis Sarganserland,38.5,34.6,39.6,35.1,42.2
1726,Wahlkreis See-Gaster,35,33.6,36.9,32.8,36.7
1727,Wahlkreis Toggenburg,42.6,38.8,41,35.8,38.5
1728,Wahlkreis Wil,33.8,31.1,36.5,32.3,36
3201,Häggenschwil,35.9,33.2,32.4,32.7,37.9
3202,Muolen,38.2,34.6,36,35.5,34.7
3203,Stadt St.Gallen,18.4,16.5,21.1,19.5,23.2
3204,Wittenbach,32,30.1,34.3,30,36.2
3211,Berg (SG),32.8,33.8,36.6,31.8,35.2
3212,Eggersriet,30.4,29.8,34.5,28,24.6
3213,Goldach,35.5,34.3,35.1,31.7,36.1
3214,Mörschwil,29.9,27,31.1,28,32.6
3215,Rorschach,25.9,25.5,29.1,30.1,26.1
3216,Rorschacherberg,37,33.7,36.5,33.2,34.4
3217,Steinach,39.9,36.9,38,31.1,36.1
3218,Tübach,44.8,44.2,35.1,32.3,34.7
3219,Untereggen,35.8,31.8,37.6,33.8,37.7
3231,Au (SG),38.8,34.3,40.1,34.3,39.6
3232,Balgach,33.5,30.6,36.3,29,33
3233,Berneck,37.1,33.5,36.1,28.7,30.5
3234,Diepoldsau,39.4,34.5,40.9,37.3,41.7
3235,Rheineck,37.1,34.6,40.8,38.5,41.1
3236,St.Margrethen,43.1,39,48.4,43.7,44.9
3237,Thal,42.5,36.3,43.3,36.2,41.4
3238,Widnau,40.7,34.8,43.5,37.1,42.9
3251,Altstätten,39.1,33.7,40.6,34.9,41.5
3252,Eichberg,55.4,44.7,51.1,44.9,53.9
3253,Marbach (SG),37.3,33.6,42,34.5,39.4
3254,Oberriet (SG),50.2,44.1,51.6,43.9,54.2
3255,Rebstein,39.8,36.8,44.2,36.2,42
3256,Rüthi (SG),45,36,43.9,37.4,49.2
3271,Buchs (SG),33.3,29.3,33.8,30.3,36.3
3272,Gams,35.5,32,37.4,30.1,35.1
3273,Grabs,35.6,28.7,34,28.8,32.9
3274,Sennwald,45.5,38.7,44.1,38.5,42.3
3275,Sevelen,39.2,36.3,40.9,33.9,39.2
3276,Wartau,37.4,31.7,38.3,35.4,42.3
3291,Bad Ragaz,32.9,30.6,37.6,33.3,40.3
3292,Flums,53.3,43.3,47.8,45.3,52
3293,Mels,39.2,35.2,39.2,35.3,43.9
3294,Pfäfers,42.8,38.9,42.3,38.5,41.6
3295,Quarten,44.3,44.9,47.1,39.4,42.2
3296,Sargans,30.9,27.3,31.7,28.2,35.2
3297,Vilters-Wangs,35,35.1,39.2,36.1,45.2
3298,Walenstadt,35.7,31.6,39.4,31,37
3311,Amden,41.9,38.9,46.5,36.6,41.8
3312,Benken (SG),47,44.3,43.3,38.4,42.8
3313,Kaltbrunn,42.6,44.6,40.8,35,41.4
3315,Schänis,42.3,42.4,40.5,38.9,41.8
3316,Weesen,32.8,29.8,32.2,30.7,36.4
3338,Schmerikon,34.1,34.6,34.5,32.4,36.9
3339,Uznach,32.5,28.3,34.1,29.7,37.6
3340,Rapperswil-Jona,25.1,25.5,30.3,28.2,30.3
3341,Gommiswald,44.8,42.8,46.8,39,45.9
3342,Eschenbach (SG),46.8,43.7,46,39.5,44.4
3352,Ebnat-Kappel,43.7,40.4,43.1,36.9,40.9
3359,Wildhaus-Alt St. Johann,41.4,35.9,41.6,35,38.1
3360,Nesslau,45.9,46,44.6,40.7,44
3374,Lichtensteig,30.6,29.2,34.7,28.2,28.1
3379,Wattwil,39.2,36.7,37.5,33.9,38.1
3392,Kirchberg (SG),41.3,36.7,41.8,35,37.9
3393,Lütisburg,42.5,37.6,37,36.2,40.1
3394,Mosnang,46.1,38.1,43.9,38.4,37
3395,Bütschwil-Ganterschwil,48.4,41.9,42.6,36.2,38.5
3396,Neckertal,42,39.9,40.1,35.7,37.2
3401,Degersheim,28.3,27.6,33.8,29,32.1
3402,Flawil,30.1,26.2,33.1,30,31.9
3405,Jonschwil,38.4,36.9,39.4,35.9,40.2
3407,Oberuzwil,32.1,28.6,34.8,28.9,34
3408,Uzwil,36.6,33.3,38.9,34.1,36.2
3422,Niederbüren,42.1,40.4,45.7,42.3,43.6
3423,Niederhelfenschwil,41.4,36.5,43.4,38.2,45.1
3424,Oberbüren,44.5,42.7,50.5,43.5,47.4
3426,Zuzwil (SG),38.4,34.1,37.8,33.7,38.9
3427,Wil (SG),29,27.5,32.3,29.2,33.5
3441,Andwil (SG),33.3,29.3,34.2,33.1,38
3442,Gaiserwald,28.1,26.5,32.7,27.5,31.6
3443,Gossau (SG),36.2,33.4,37.1,33.4,36.7
3444,Waldkirch,41,40.1,43.2,36,42
