id,title_de_CH,title_fr_CH,title_it_CH,title_rm_CH,short_title_de_CH,short_title_fr_CH,short_title_it_CH,short_title_rm_CH,date,shortcode,domain,status,answer,type,ballot_answer,district,name,entity_id,counted,yeas,nays,invalid,empty,eligible_voters,expats
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,,,0,True,2134,780,0,19,11124,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,St. Gallen,Häggenschwil,3201,True,329,149,0,4,944,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,St. Gallen,Muolen,3202,True,246,166,0,1,876,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,St. Gallen,St. Gallen,3203,True,14889,4634,0,212,43929,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,St. Gallen,Wittenbach,3204,True,1578,734,0,16,5848,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rorschach,Berg (SG),3211,True,221,114,0,0,683,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,St. Gallen,Eggersriet,3212,True,518,286,0,5,1695,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rorschach,Goldach,3213,True,1631,723,0,18,5892,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rorschach,Mörschwil,3214,True,993,420,0,10,2668,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rorschach,Rorschach,3215,True,1099,445,0,17,4069,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rorschach,Rorschacherberg,3216,True,1244,642,2,21,4453,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rorschach,Steinach,3217,True,759,332,0,7,2199,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rorschach,Tübach,3218,True,318,118,0,1,1071,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rorschach,Untereggen,3219,True,233,106,0,4,743,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rheintal,Au (SG),3231,True,1091,680,0,10,4319,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rheintal,Balgach,3232,True,864,479,0,5,3138,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rheintal,Berneck,3233,True,735,434,0,9,2527,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rheintal,Diepoldsau,3234,True,980,551,0,6,4092,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rheintal,Rheineck,3235,True,445,368,0,1,1897,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rheintal,St. Margrethen,3236,True,527,396,1,3,2556,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rorschach,Thal,3237,True,1106,774,0,9,4402,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rheintal,Widnau,3238,True,1451,904,0,12,5892,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rheintal,Altstätten,3251,True,1968,1215,0,25,7055,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rheintal,Eichberg,3252,True,237,210,0,1,1034,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rheintal,Marbach (SG),3253,True,384,212,0,3,1380,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Rheintal,Oberriet (SG),3254,True,1395,1130,0,10,6062,
